Gene_ID,Gene_Name,zygote,cleavage_2_cell,blastula_128_cell,blastula_1k_cell,blastula_dome,gastrula_50__epiboly,gastrula_shield,gastrula_75__epiboly,segmentation_1_4_somites,segmentation_14_19_somites,segmentation_20_25_somites,pharyngula_prim_5,pharyngula_prim_15,pharyngula_prim_25,hatching_long_pec,larval_protruding_mouth,larval_day_4,larval_day_5
ENSDARG00000026787,aqp7,0.5,0.8,0.3,0.7,0.7,0.9,0.3,0.2,NA,0.2,0.4,1,2,1,2,3,3,3
ENSDARG00000045141,aqp8a.1,NA,NA,NA,NA,1,1,2,NA,0.5,1,6,8,6,1,11,23,38,43
ENSDARG00000071592,aqp8a.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,24,17
ENSDARG00000089749,aqp8b,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,13,13,11,12,7,2,0.5
ENSDARG00000053480,aqp9b,NA,NA,NA,NA,NA,0.2,NA,0.4,0.3,0.2,0.4,0.1,0.2,0.2,0.2,26,40,53
ENSDARG00000016775,aqr,2,0.8,6,5,6,11,16,22,34,31,31,25,17,21,10,8,8,9
ENSDARG00000067976,ar,0.3,0.5,0.8,0.8,2,0.8,0.9,NA,1,0.3,0.6,1,1,0.8,0.7,1,2,2
ENSDARG00000054533,araf,2,3,4,3,6,11,13,16,20,19,17,13,10,11,7,7,8,7
ENSDARG00000062221,arap1a,NA,0.1,1,3,2,0.6,0.2,NA,2,2,1,1,0.7,0.5,0.9,2,3,2
ENSDARG00000076801,arap3,0.3,0.9,5,8,1,0.3,0.1,0.4,3,3,4,3,2,2,1,2,2,2
ENSDARG00000002792,arcn1a,22,30,78,84,87,61,40,30,41,33,36,34,31,25,26,26,18,12
ENSDARG00000031214,arcn1b,30,44,73,70,56,42,24,19,30,25,32,31,28,25,27,32,25,18
ENSDARG00000076853,areg,NA,0.1,0.1,0.2,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.5,0.9
ENSDARG00000009484,arf1,38,50,33,44,54,89,89,83,81,76,72,56,53,49,37,33,25,18
ENSDARG00000014763,arf2a,32,35,53,61,85,120,126,116,132,124,129,127,110,111,97,114,92,65
ENSDARG00000016393,arf2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
ENSDARG00000070539,arf3a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,2,2,7,10,8,9
ENSDARG00000036998,arf3b,NA,NA,NA,NA,NA,0.7,0.6,0.7,NA,NA,2,3,3,4,7,11,12,10
ENSDARG00000045989,arf4a,1.15,1.25,NA,1.2,1.75,3.15,4.65,6.15,11.85,9.85,9.6,7.1,6.75,NA,4.15,NA,NA,NA
ENSDARG00000100339,arf4b,0.4,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,0.4,NA,0.8,1,1
ENSDARG00000070472,arf5,31,45,146,166,204,219,219,169,158,157,139,119,98,92,79,71,49,34
ENSDARG00000101626,arf6a,154,145,70,75,54,33,30,34,30,36,38,32,32,37,28,29,20,13
ENSDARG00000052928,arf6b,8,13,27,25,38,47,53,61,69,67,71,55,44,46,41,37,31,20
ENSDARG00000101616,arfgap1,4,37,18,23,24,22,22,21,34,32,32,36,31,30,31,37,26,23
ENSDARG00000067601,arfgap2,22,26,55,72,67,68,61,41,35,23,29,25,27,23,24,24,22,18
ENSDARG00000097583,arfgap3,51,39,52,50,67,23,9,6,11,13,10,6,6,6,5,5,7,7
ENSDARG00000063474,arfgef1,6,7,11,11,4,2,4,4,3,3,3,4,4,5,5,7,7,7
ENSDARG00000074702,arfgef2,10,10,21,23,20,11,8,10,11,9,9,8,7,7,6,7,8,8
ENSDARG00000077656,arfgef3,2,2,4,3,2,0.9,0.4,NA,0.1,0.2,0.3,0.4,0.3,0.5,0.6,0.8,2,1
ENSDARG00000070055,arfip1,16,16,27,27,22,5,3,9,11,9,10,10,10,8,10,11,10,7
ENSDARG00000059244,arfip2a,2,4,15,16,5,0.7,0.3,0.7,5,6,7,7,8,11,14,14,11,10
ENSDARG00000057857,arfrp1,5,5,5,6,6,5,5,4,6,4,5,6,6,5,5,5,5,5
ENSDARG00000057429,arg1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,3
ENSDARG00000039269,arg2,0.3,0.4,0.6,0.7,13,23,16,13,0.9,0.5,1,3,4,2,3,8,14,47
ENSDARG00000019223,arglu1a,28,27,18,20,20,26,24,40,34,29,31,24,26,30,29,28,33,39
ENSDARG00000018319,arglu1b,16,24,51,55,46,56,75,71,44,41,40,34,33,34,29,29,31,35
ENSDARG00000024324,arhgap1,10,10,29,30,9,6,7,6,11,12,16,13,15,19,18,25,25,22
ENSDARG00000078326,arhgap10,42,27,15,16,4,0.8,0.3,1,4,4,5,5,6,5,5,6,6,6
ENSDARG00000100019,arhgap11a,3,2,25,33,47,59,56,41,23,17,16,13,11,12,7,2,3,2
ENSDARG00000008548,arhgap12a,0.4,0.5,1,1,1,2,5,11,7,4,4,4,5,3,4,7,8,7
ENSDARG00000026482,arhgap12b,0.4,0.6,5,9,5,2,3,7,11,14,13,12,13,12,9,9,8,8
ENSDARG00000062349,arhgap15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.3,0.5,0.4
ENSDARG00000020488,arhgap17a,2,4,11,12,9,4,2,1,3,2,3,2,2,2,2,2,4,3
ENSDARG00000062263,arhgap17b,10,9,10,9,7,7,4,1,1,2,3,4,4,3,5,7,8,5
ENSDARG00000074740,arhgap18,NA,0.2,0.5,1,1,1,0.9,0.3,2,2,3,4,3,3,3,4,8,7
ENSDARG00000083189,arhgap19,54,74,60,56,38,14,22,18,17,14,14,15,13,14,8,4,5,2
ENSDARG00000089326,arhgap20,NA,NA,NA,0.2,0.2,0.2,0.1,0.1,NA,NA,NA,0.2,NA,NA,1,2,1,1
ENSDARG00000093708,arhgap20b,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.1,NA,NA,NA,0.5,0.7
ENSDARG00000104295,arhgap21a,NA,NA,0.2,0.8,0.1,NA,NA,0.4,2,2,2,2,3,4,4,5,6,6
ENSDARG00000075673,arhgap21b,3,6,27,30,26,18,18,23,23,24,21,15,12,13,8,12,13,14
ENSDARG00000021255,arhgap22,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.9,1,1,1,1,1,2,2,1
ENSDARG00000052950,arhgap23a,0.1,0.3,1,0.5,0.7,0.5,0.7,2,7,6,7,7,9,8,9,10,11,12
ENSDARG00000026840,arhgap23b,NA,NA,0.1,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,2,2
ENSDARG00000100973,arhgap24,5,11,15,16,10,2,0.7,2,5,5,5,5,4,4,4,5,4,4
ENSDARG00000061784,arhgap25,NA,NA,0.2,NA,0.2,NA,NA,NA,NA,NA,0.2,NA,0.3,0.3,0.3,0.6,0.3,0.3
